Проверка,Тестовые данные,Ожидаемый Результат,Статус прохождения,Комментарий,,"Проверить, что ... что происходит и при каком условии"
Функциональные тесты (Functional tests),,,,,,
Валидные классы (позитив),,,,,,
Ввести 6 символов (минимум),qwecd_,,,,,
Ввести 7 символов,qwerd._,,,,,
Ввести 19 символов,_wertysbsdwerwerweq,,,,,
Ввести 20 символов (максимум),._ertysbsdwerwerweqs,,,,,
Ввести 6 символов (минимум),_.QWEC,,,,,
Ввести 7 символов,QW_ERG.,,,,,
Ввести 19 символов,.WERTYSBSDWERWERWEQ_,,,,,
Ввести 20 символов  (максимум),_WERTYSBSDWERWERWEQ.,,,,,
Ввести 6 символов (минимум),435675,,,,,
Ввести 7 символов,1124445,,,,,
Ввести 19 символов,12123123242342354343,,,,,
Ввести 20 символов (максимум),12123123242342354345,,,,,
Невалидные классы (негатив),,,,,,
Ввести 5 символов,CVVVD,Сообщение об ошибке,,,,
Ввести 21 символ,QWERTYSBSDWERWERWEQSW,Сообщение об ошибке,,,,
Ввести 5 символов,фывак,Сообщение об ошибке,,,,
Ввести 21 символ,ВШГАРУЦГШАОМТВАЩПТВАВ,Сообщение об ошибке,,,,
Ввести 0,0,Сообщение об ошибке,,,,
Два пробела перед паролем,  hhSDI2,,,,,
Символы пунктуации «‹»›‛„“‟,«dhcds»,Сообщение об ошибке,,,,
Сочетание букв разных алфавитов,AafССуу,Сообщение об ошибке,,СС - русские,,
Пустое поле,,Сообщение об ошибке,,,,
Ввести спец символы,-!\@,Сообщение об ошибке,,,,
Ввести спец символы,"!"";№%:??*-",Сообщение об ошибке,,,,
