Проверка,Тестовые данные,Ожидаемый Результат,Статус прохождения,Комментарий,,"Проверить, что ... что происходит и при каком условии"
Функциональные тесты (Functional tests),,,,,,
Взвесить эталон ,16 кг (гиря 1 пуд),Весы показывают 16 кг,,проверка на точность,,
Взвесить 150 кг,150,Весы показывают 150,,,,
Взвесить 1 кг,1,Весы показывают 1,,,,
Взвесить 151 кг,151,Весы показывают ошибку,,,,
Взвесить 200 кг,200,Весы показывают ошибку,,,,
Взвеситься на одной ноге,,Весы показывают результат,,,,
Взеститься стоя на правом краю,,Весы показывают ошибку,,,,
Взвеситься стоя на левом краю,,Весы показывают ошибку,,,,
"Проверить, что количество взвешиваний неограничено (100 взвешиваний) ",,Весы работают исправно,,Уточнить требования,,
Нефункциональные тесты (Non-Functional tests),,,,,,
Тестирование установки или инсталяционное (Installation),,,,,,
Использование на неровной поверхности,,Весы показывают ошибку,,,,
Иипользование на влажной поверхности,,Весы работают исправно,,,,
Использование на наклонной поверхности,,Весы показывают ошибку,,,,
Тестирование пользовательского интерфейса (UI),,,,,,
Функция запоминания показаний до 2 человек,,,,,,
Тестирование удобства использования (Usability),,,,,,
Размер дисплея,Читаются цифры со стандартного роста человека (180 см) с отличным зрением (единица),,,,,
Показывает результат в виде ХХ кг ХХ гр,,,,,,
Тестирование безопасности (Security),,,,,,
Уронить весы,,"Весы треснули, но не разбились на осколки",,,,
Поменять полярность батареек,,Весы не работают,,,,
Проверить остроту граней весов,,Отсутствует возможность пораниться,,,,
Тестирование производительности (Performance),,,,,,
Проверить количество взвешиваний на одних батарейках,,более 1000,,,,
Тестирование локализации (Localization),,,,,,
Наличие инструкции на 2 языках,,Инструкция на английском и русском,,,,
Возможность переключения режимов (фунты/кг),,Переключение с помощью кнопки,,,,
